,map_trx_state,map__trx_dist,map_trx_years,map_trx_qtr,map_trx_amount,map_trx_count
364,arunachal pradesh,pakke kessang ,2022,3,26095563.60834673,12764
365,arunachal pradesh,bang valley ,2022,3,19490605.610856578,3266
366,arunachal pradesh,west kameng ,2022,3,945171308.1838298,371632
367,arunachal pradesh,hi yomi ,2022,3,31175974.40628878,4909
368,arunachal pradesh,east siang ,2022,3,594752976.4068052,286766
369,arunachal pradesh,upper subansiri ,2022,3,256409311.95083195,77637
370,arunachal pradesh,east kameng ,2022,3,166910810.4295592,52570
371,arunachal pradesh,lohit ,2022,3,461745616.9201143,236792
372,arunachal pradesh,lepa rada ,2022,3,105244758.5087227,38997
373,arunachal pradesh,awang ,2022,3,514855579.7238326,138313
374,arunachal pradesh,namsai ,2022,3,277199997.0357646,151676
375,arunachal pradesh,lower dibang valley ,2022,2,271945446.39483917,104498
376,arunachal pradesh,lower subansiri ,2022,2,287993729.7711809,94109
377,arunachal pradesh,longding ,2022,2,160788732.81339836,53158
378,arunachal pradesh,west siang ,2022,2,375530981.6496287,121772
379,arunachal pradesh,kamle ,2022,2,44602505.00778252,15014
380,arunachal pradesh,upper siang ,2022,2,156044689.03497896,48672
381,arunachal pradesh,ap ,2022,2,237900567.7289177,77626
382,arunachal pradesh,papum pare ,2022,2,3269917296.559577,1444757
383,arunachal pradesh,kurung kumey ,2022,2,48364588.79678346,11548
384,arunachal pradesh,anjaw ,2022,2,100406271.77969864,29854
385,arunachal pradesh,ang ,2022,2,83637271.88783586,28364
386,arunachal pradesh,lower siang ,2022,2,92504503.65485632,35467
387,arunachal pradesh,kra daadi ,2022,2,64226643.96066442,15115
388,arunachal pradesh,hanglang ,2022,2,513287861.1029648,203732
389,arunachal pradesh,pakke kessang ,2022,2,27595370.58732931,10309
390,arunachal pradesh,bang valley ,2022,2,17089738.718757033,3179
391,arunachal pradesh,west kameng ,2022,2,893486447.5566866,327925
392,arunachal pradesh,hi yomi ,2022,2,28306519.496313594,3929
393,arunachal pradesh,east siang ,2022,2,604825118.1911322,261162
394,arunachal pradesh,upper subansiri ,2022,2,253134359.51780328,69169
395,arunachal pradesh,east kameng ,2022,2,191450485.63458514,45363
396,arunachal pradesh,lohit ,2022,2,502322813.6384014,226199
397,arunachal pradesh,lepa rada ,2022,2,118031124.67116562,40528
398,arunachal pradesh,awang ,2022,2,494351396.8226247,132824
399,arunachal pradesh,namsai ,2022,2,293920909.24794424,152652
400,arunachal pradesh,lower dibang valley ,2020,4,81929299.56817816,33455
401,arunachal pradesh,lower subansiri ,2020,4,97681186.89595497,31411
402,arunachal pradesh,longding ,2020,4,74890543.91561158,26089
403,arunachal pradesh,west siang ,2020,4,125118193.0493962,45207
404,arunachal pradesh,kamle ,2020,4,10000596.409396999,3611
405,arunachal pradesh,upper siang ,2020,4,78146755.88828371,19943
406,arunachal pradesh,ap ,2020,4,104709589.6601958,36124
407,arunachal pradesh,papum pare ,2020,4,1205917753.7046227,390528
408,arunachal pradesh,kurung kumey ,2020,4,17134470.4444281,4581
409,arunachal pradesh,anjaw ,2020,4,49318880.51759694,17228
410,arunachal pradesh,ang ,2020,4,32619173.238261122,12962
411,arunachal pradesh,lower siang ,2020,4,33891568.64514145,14782
412,arunachal pradesh,kra daadi ,2020,4,30458774.811469436,7619
413,arunachal pradesh,hanglang ,2020,4,204367875.07299304,84852
414,arunachal pradesh,pakke kessang ,2020,4,7503555.503947843,3064
415,arunachal pradesh,bang valley ,2020,4,6749773.196253154,1705
416,arunachal pradesh,west kameng ,2020,4,390436113.7366377,129575
417,arunachal pradesh,hi yomi ,2020,4,6627025.636333689,1103
418,arunachal pradesh,east siang ,2020,4,250515095.18896666,88632
419,arunachal pradesh,upper subansiri ,2020,4,109405900.7987589,31426
420,arunachal pradesh,east kameng ,2020,4,64104581.33887266,16340
